description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Hedgehog 'off' state	R-HSA-5610787	26	2208	112	10987	0.23558240163294508	0.6784136457835216	1.1551420160455488	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, IFT57, UBC, ADCY6, ADCY2, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, CSNK1A1, GNAS, PSMC1, PRKAR2A, RPGRIP1L, PSMA6, PSMC3, PSMA7, PSMD6
Beta-catenin independent WNT signaling	R-HSA-3858494	33	2208	145	10987	0.23847192038979628	0.6858079114043939	1.1324681409295352	0	PSMD14, NLK, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, DVL2, UBC, FZD3, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, GNG10, AGO1, PRKCA, GNG7, PSMC1, AP2S1, WNT1, RAC2, SMURF2, PSMA6, PSMC3, PSMA7, CLTB, DVL1, GNAO1, PSMD6
Signaling by FGFR	R-HSA-190236	21	2208	89	10987	0.23955830016502497	0.687682210585291	1.1741115046409378	0	RPS27A, POLR2G, POLR2J, FGF7, FGF3, FGF22, HRAS, UBC, POLR2B, POLR2K, HNRNPH1, PTBP1, UBB, TGFBR3, FRS3, FGF19, HNRNPA1, FGF4, POLR2C, GIPC1, CBL
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	R-HSA-198933	30	2208	131	10987	0.23976906732279268	0.687682210585291	1.1395411549950216	0	LILRB1, LILRB4, ITGAL, LAIR1, ITGB1, SLAMF7, CD96, CD300LF, ICAM3, CD300C, CD3D, HCST, CD200, CD22, MICA, CD3E, CD8B, CLEC4G, CRTAM, TYROBP, CD226, LILRA1, CD8A, SLAMF6, PILRA, KLRB1, CD3G, CD99, CD33, KLRC4-KLRK1
Intra-Golgi and retrograde Golgi-to-ER traffic	R-HSA-6811442	45	2208	202	10987	0.24169263332460322	0.6922674752886149	1.1085140443392165	0	DCTN2, DYNC1LI2, PAFAH1B1, STX18, CYTH2, NAPB, KIF3C, RAB30, SNAP29, IGF2R, TMED2, ARFGAP2, CAPZA2, PAFAH1B2, DYNC1I2, KIF20B, CAPZB, COG2, STX10, KLC1, ACTR10, NAA38, COG1, TMED10, RABEPK, KDELR3, VPS52, KIF18A, RAB3GAP1, NAA30, SEC22B, KIF22, KDELR1, KIF27, KIF1C, COG4, VAMP4, RAB18, ARFGAP1, VPS53, ZW10, KIF5B, GOLGA5, NAA35, USP6NL
Platelet calcium homeostasis	R-HSA-418360	8	2208	30	10987	0.24325322203535835	0.6944886422604585	1.3269323671497586	0	P2RX7, SRI, ORAI2, ATP2A2, P2RX3, ATP2A1, P2RX6, ATP2A3
Signaling by CSF3 (G-CSF)	R-HSA-9674555	8	2208	30	10987	0.24325322203535835	0.6944886422604585	1.3269323671497586	0	RPS27A, CUL5, UBC, STAT1, STAT3, UBB, UBE2D1, UBE2D3
Chemokine receptors bind chemokines	R-HSA-380108	14	2208	57	10987	0.24344580749345962	0.6944886422604585	1.222174548690567	0	CXCL16, CCL4, CCL2, CXCL11, CCL28, CCL5, XCR1, CX3CR1, CXCL13, CXCL10, CCL3, CXCL9, CXCR3, XCL1
RIP-mediated NFkB activation via ZBP1	R-HSA-1810476	5	2208	17	10987	0.24494451247536844	0.6950422850665914	1.4635283461210573	0	CHUK, NKIRAS1, MYD88, RIPK3, TLR3
Signaling by Activin	R-HSA-1502540	5	2208	17	10987	0.24494451247536844	0.6950422850665914	1.4635283461210573	0	ACVR2A, ACVR2B, TGFBR3, INHBB, ACVR1B
TRAF6-mediated induction of TAK1 complex within TLR4 complex	R-HSA-937072	5	2208	17	10987	0.24494451247536844	0.6950422850665914	1.4635283461210573	0	RPS27A, LY96, UBC, UBB, TAB3
MyD88 deficiency (TLR2/4)	R-HSA-5602498	5	2208	17	10987	0.24494451247536844	0.6950422850665914	1.4635283461210573	0	LY96, CD36, MYD88, FGA, FGB
Interleukin-4 and Interleukin-13 signaling	R-HSA-6785807	25	2208	108	10987	0.24590916418260042	0.6959662739827123	1.151851013150832	0	CCND1, SOCS5, CCL2, FOS, POU2F1, MMP9, ITGB1, HSP90AA1, STAT1, VIM, STAT3, CD36, TP53, IL2RG, ANXA1, GATA3, TGFB1, TWIST1, LBP, BCL6, ITGAX, MAOA, OPRD1, FOXO3, MMP3
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	R-HSA-110313	10	2208	39	10987	0.24592332440590445	0.6959662739827123	1.2758965068747679	0	RPS27A, POLE4, UBC, POLE2, POLK, UBB, RFC4, UBA7, REV1, RPA1
Lipophagy	R-HSA-9613354	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	PRKAG3, PLIN2, PRKAA2
Toxicity of botulinum toxin type D (botD)	R-HSA-5250955	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	VAMP1, SV2A
Regulation of PTEN localization	R-HSA-8948747	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	RPS27A, UBC, UBB
Maturation of protein 3a	R-HSA-9683673	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	ST6GAL1, ST6GALNAC2, ST6GALNAC4
Abacavir transmembrane transport	R-HSA-2161517	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	SLC22A3, SLC22A2
Maturation of protein 3a	R-HSA-9694719	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	ST6GAL1, ST6GALNAC2, ST6GALNAC4
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	R-HSA-2894858	14	2208	58	10987	0.26563219668431237	0.7029105409888632	1.2011025737131436	0	HES5, RPS27A, TBL1XR1, UBC, MAML3, PSENEN, UBB, NCSTN, HDAC5, SNW1, KAT2B, DLL4, CDK8, NEURL1
VLDL assembly	R-HSA-8866423	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	APOB, APOC1
The fatty acid cycling model	R-HSA-167826	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	UCP2, UCP3
Transport of the SLBP Dependant Mature mRNA	R-HSA-159230	9	2208	35	10987	0.2594844480801924	0.7029105409888632	1.2795419254658384	0	NUP37, RAE1, POM121, NUP43, NUP62, NUP214, NUP133, NUP155, ALYREF
EGFR Transactivation by Gastrin	R-HSA-2179392	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	HRAS, PRKCA, MMP3
Cell surface interactions at the vascular wall	R-HSA-202733	31	2208	137	10987	0.2581686384860256	0.7029105409888632	1.1259553845340105	0	ITGA5, PTPN6, SELPLG, ITGAL, APOB, SDC4, CD74, HRAS, ITGB1, PROS1, CD58, GRB7, CD2, PROCR, FCER1G, SDC3, MIF, TGFB1, CD84, YES1, OLR1, ITGAX, SIRPG, CEACAM1, GYPC, SLC16A1, SLC7A7, CD99, SLC7A11, JCHAIN, ANGPT2
Interleukin-9 signaling	R-HSA-8985947	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	STAT1, STAT3, IL2RG
Ubiquinol biosynthesis	R-HSA-2142789	4	2208	13	10987	0.2555611348620716	0.7029105409888632	1.5310758082497213	0	STARD7, COQ6, COQ9, COQ8A
Constitutive Signaling by NOTCH1 PEST Domain Mutants	R-HSA-2644606	14	2208	58	10987	0.26563219668431237	0.7029105409888632	1.2011025737131436	0	HES5, RPS27A, TBL1XR1, UBC, MAML3, PSENEN, UBB, NCSTN, HDAC5, SNW1, KAT2B, DLL4, CDK8, NEURL1
N-glycan trimming and elongation in the cis-Golgi	R-HSA-964739	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	MANEA, MGAT1
Disinhibition of SNARE formation	R-HSA-114516	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	STX4, PRKCA
Adipogenesis	R-HSA-9843745	25	2208	109	10987	0.26189550832019887	0.7029105409888632	1.1412835726632096	0	MED4, PCK1, MED12, SLC2A4, MED9, NR2F2, TBL1XR1, MED15, MED24, COX7A1, MED14, MED1, FABP4, CCND3, CEBPB, CD36, MED23, LPL, TGFB1, WNT1, MED29, EGR2, HNRNPU, CDK8, MED17
Integration of provirus	R-HSA-162592	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	HMGA1, KPNA1, BANF1
Transport of nucleotide sugars	R-HSA-727802	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	SLC35A1, SLC35B2, SLC35D1
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	R-HSA-2894862	14	2208	58	10987	0.26563219668431237	0.7029105409888632	1.2011025737131436	0	HES5, RPS27A, TBL1XR1, UBC, MAML3, PSENEN, UBB, NCSTN, HDAC5, SNW1, KAT2B, DLL4, CDK8, NEURL1
Impaired BRCA2 binding to RAD51	R-HSA-9709570	9	2208	35	10987	0.2594844480801924	0.7029105409888632	1.2795419254658384	0	NBN, BRCA1, RHNO1, RBBP8, RAD9A, RFC4, RAD1, BRCA2, RPA1
Transmission across Electrical Synapses 	R-HSA-112307	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	PANX1, PANX2
Defective LFNG causes SCDO3	R-HSA-5083630	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	NOTCH3, NOTCH2
Vitamin B1 (thiamin) metabolism	R-HSA-196819	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	SLC19A2, THTPA
Inhibition of replication initiation of damaged DNA by RB1/E2F1	R-HSA-113501	4	2208	13	10987	0.2555611348620716	0.7029105409888632	1.5310758082497213	0	PPP2R3B, RB1, PPP2R1B, TFDP1
Activation of RAS in B cells	R-HSA-1169092	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	HRAS, RASGRP1
PTK6 Regulates Proteins Involved in RNA Processing	R-HSA-8849468	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	KHDRBS3, SFPQ
Serine biosynthesis	R-HSA-977347	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	PHGDH, PSPH, SERINC1
Trafficking of myristoylated proteins to the cilium	R-HSA-5624138	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	UNC119B, CYS1
Interleukin-2 family signaling	R-HSA-451927	11	2208	44	10987	0.25872476133954325	0.7029105409888632	1.2439990942028984	0	PTPN6, IL2RA, IL2RB, STAT1, STAT3, IL2RG, CSF2RA, LGALS9, PTK2B, STAT4, SOS2
Downregulation of ERBB4 signaling	R-HSA-1253288	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	RPS27A, UBC, UBB
Leukotriene receptors	R-HSA-391906	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	CYSLTR1, CYSLTR2
Formation of xylulose-5-phosphate	R-HSA-5661270	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	DCXR, CRYL1
IRS activation	R-HSA-74713	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	INSR, IRS2
Electric Transmission Across Gap Junctions	R-HSA-112303	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	PANX1, PANX2
Activation of NOXA and translocation to mitochondria	R-HSA-111448	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	TP53, TFDP1
TP53 Regulates Transcription of Cell Death Genes	R-HSA-5633008	11	2208	44	10987	0.25872476133954325	0.7029105409888632	1.2439990942028984	0	APAF1, RABGGTB, RABGGTA, CASP6, TP53, PIDD1, BNIP3L, TMEM219, CASP2, BCL6, ZNF420
Signaling by NOTCH1 in Cancer	R-HSA-2644603	14	2208	58	10987	0.26563219668431237	0.7029105409888632	1.2011025737131436	0	HES5, RPS27A, TBL1XR1, UBC, MAML3, PSENEN, UBB, NCSTN, HDAC5, SNW1, KAT2B, DLL4, CDK8, NEURL1
Toll Like Receptor 4 (TLR4) Cascade	R-HSA-166016	33	2208	147	10987	0.26585917223698907	0.7029105409888632	1.11706041112097	0	PELI3, RPS27A, CASP8, DUSP7, PPP2R5D, RPS6KA1, LY96, FOS, UBC, NOD1, UBB, CD36, TP53, MAPK14, CHUK, UBE2D1, IKBKE, PPP2R1B, NKIRAS1, LBP, TAB3, RIPK2, MYD88, CD180, UBE2D3, TANK, ECSIT, AGER, OPTN, FGA, RIPK3, FGB, TNIP2
Small interfering RNA (siRNA) biogenesis	R-HSA-426486	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	DICER1, AGO1, PRKRA
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation	R-HSA-8869496	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	HSPD1, NPM1
Induction of Cell-Cell Fusion	R-HSA-9733458	4	2208	13	10987	0.2555611348620716	0.7029105409888632	1.5310758082497213	0	ANO7, ACE2, TMPRSS2, ANO2
Meiotic recombination	R-HSA-912446	20	2208	85	10987	0.25077866867320164	0.7029105409888632	1.1708226768968457	0	NBN, H3C11, H2BC15, H2BC7, BRCA1, H2BC9, RBBP8, PSMC3IP, H2BC14, MSH5, RAD51C, H4C5, H2AZ2, BRCA2, MSH4, H4C15, RPA1, H3-4, H2AJ, H4C2
Iron uptake and transport	R-HSA-917937	14	2208	58	10987	0.26563219668431237	0.7029105409888632	1.2011025737131436	0	TCIRG1, RPS27A, ATP6V0C, ATP6V1B1, ATP6V0E1, ATP6V1H, ATP6V1F, GLRX3, UBC, UBB, ATP6V1C1, ATP6V0E2, FLVCR1, FTH1
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	R-HSA-75035	4	2208	13	10987	0.2555611348620716	0.7029105409888632	1.5310758082497213	0	YWHAB, YWHAQ, YWHAZ, WEE1
Epigenetic regulation of gene expression	R-HSA-212165	55	2208	251	10987	0.25612530536307304	0.7029105409888632	1.0903577718113056	0	CDK7, POLR1H, SIRT1, ZNF547, DEK, KMT2A, SUDS3, H3C11, KMT2C, H2BC15, JARID2, H2BC7, GTF2H1, BOD1, H2BC9, POLR2K, PAXIP1, SAP130, CBX5, ZNF382, BAZ2A, RBBP5, H2BC14, ACTL6A, TASP1, H4C5, H2AZ2, KDM6A, HCFC1, ZNF30, ZNF418, ACTB, SUV39H1, ZNF224, KAT2B, SMARCB1, H4C15, ERCC3, POLR1B, MTREX, SMARCD1, TET2, PAGR1, PHF20, POLR1C, TRIM28, H2AJ, ARID1A, KANSL2, CCNH, ATF7IP, EHMT1, H4C2, WDR5, TASOR
Toxicity of botulinum toxin type F (botF)	R-HSA-5250981	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	VAMP1, SV2A
RUNX3 regulates p14-ARF	R-HSA-8951936	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	CCND1, TGFB1, RUNX3
Drug-mediated inhibition of CDK4/CDK6 activity	R-HSA-9754119	2	2208	5	10987	0.26467873300191236	0.7029105409888632	1.9903985507246378	0	CCND1, CCND3
The activation of arylsulfatases	R-HSA-1663150	4	2208	13	10987	0.2555611348620716	0.7029105409888632	1.5310758082497213	0	SUMF1, SUMF2, ARSG, ARSA
Signaling by NOTCH1 PEST Domain Mutants in Cancer	R-HSA-2644602	14	2208	58	10987	0.26563219668431237	0.7029105409888632	1.2011025737131436	0	HES5, RPS27A, TBL1XR1, UBC, MAML3, PSENEN, UBB, NCSTN, HDAC5, SNW1, KAT2B, DLL4, CDK8, NEURL1
Nef Mediated CD4 Down-regulation	R-HSA-167590	3	2208	9	10987	0.2643075630858488	0.7029105409888632	1.658665458937198	0	ATP6V1H, CD4, AP2S1
Generic Transcription Pathway	R-HSA-212436	258	2208	1241	10987	0.2699185827888018	0.7127589837954605	1.0344940090389938	0	MED4, HIVEP3, RRM2B, PSMD14, ITGA5, ZNF696, CDK7, CCND1, PITX2, PCK1, MED12, PINK1, TAF7, PRKAG3, CCNK, PSME1, SIRT1, ZNF547, RPS27A, APAF1, NFYB, ZNF627, DEK, NBN, COX6A2, POLR2G, CCN2, RABGGTB, PSMB3, RABGGTA, KMT2A, NDUFA4, DGCR8, PSMC5, ARID2, ZNF703, TNKS1BP1, PSMD10, ITGAL, STK11, POLR2J, XPO1, H3C11, GATA4, KMT2C, TBL1XR1, ZNF529, IL2RA, ANAPC5, H2BC15, FANCD2, CDC26, MED15, MED24, H2BC7, TRIM33, GTF2H1, BRCA1, ZNF180, NOTCH3, ZNF383, TAF13, COX7A1, H2BC9, SESN2, RHNO1, FOS, RBBP8, UBC, PPM1D, ZNF860, MAML3, PLAGL1, POLR2B, GEM, CSF1R, POLR2K, ZNF568, PCGF6, YWHAB, ZNF597, ZNF124, ZNF701, ANAPC15, ZNF675, HSPD1, CLDN5, ZNF490, ZNF681, ZNF43, CBX5, SSRP1, ZNF382, YWHAQ, MED14, TEAD3, ZNF195, MED1, BMAL1, ZNF697, CASP6, TCF12, ZNF175, ZNF75A, CCND3, CEBPB, STAT1, ZNF212, RBBP5, ZNF624, SUPT5H, COX6A1, PSMA5, CNOT8, UBB, PSMC6, H2BC14, PSMA4, RXRG, RAD9A, ELF2, RRAGA, RFC4, ACTL6A, ZNF135, TP53, PSMD3, FBXO32, CDKN2B, PIDD1, PSMD4, MAPK14, PSMB4, MED23, AGO1, GATA3, COX8A, RGCC, ZNF417, ZNF496, SLC38A9, NUAK1, ZNF480, NPM1, UBE2D1, HDAC5, TGFB1, ZNF747, SUMO1, TXNRD1, SRF, CDC27, RETN, H4C5, TEAD4, CNOT10, ESRRA, PSMC1, H2AZ2, SKI, BNIP3L, RB1, TMEM219, ZFP90, RAD1, NR2C2, YES1, ATXN3, E2F6, UBE2E1, SNW1, TRIM63, NOTCH2, ZNF771, ZNF30, BTG2, NAMPT, BCL2L11, TWIST1, YWHAZ, PPP2R1B, ZNF418, SMURF2, CASP2, ZNF616, BCL6, LAMTOR5, BRD7, TAF5, ZNF138, TXNIP, ZNF224, UXT, PDPK1, KAT2B, ZNF740, PSMA6, RUNX3, SMARCB1, EPC1, ZNF567, ZNF577, PSMC3, TWIST2, SOD2, PSMA7, RBFOX3, H4C15, ERCC3, HNF4A, UBE2D3, KCNIP3, RPA1, SMARCD1, ZFP1, PHF20, TFDP1, LDB1, ZNF12, PRKAA2, ZNF74, POLR2C, ZNF420, GATA2, ZNF286A, TRIM28, NKX2-5, H2AJ, RBFOX1, CDK12, FOXO4, CDK8, ANAPC16, MED17, FOXO3, ARID1A, ATP1B4, ZNF92, LAMTOR2, ZNF548, COX4I1, ZNF302, CCNH, EHMT1, PRDM1, H4C2, PSMD6, ZNF670, CNOT2, NFATC2, MLST8, CDKN1B, TAF2, KCTD1, NOC2L, WDR5, RUNX2, PPM1A
Signaling by CSF1 (M-CSF) in myeloid cells	R-HSA-9680350	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	RPS27A, UBC, CSF1R, STAT1, STAT3, UBB, YES1, CBL
Transferrin endocytosis and recycling	R-HSA-917977	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	TCIRG1, ATP6V0C, ATP6V1B1, ATP6V0E1, ATP6V1H, ATP6V1F, ATP6V1C1, ATP6V0E2
RA biosynthesis pathway	R-HSA-5365859	6	2208	22	10987	0.27111720720675986	0.7130411325000023	1.3570899209486165	0	AKR1C3, ALDH1A2, ADH1A, ADH1C, CYP26A1, CYP26C1
Signaling by BMP	R-HSA-201451	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	ACVR2A, ACVR2B, UBE2D1, TGFBR3, SKI, SMURF2, BMPR1B, UBE2D3
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	R-HSA-5619107	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	NUP37, RAE1, POM121, NUP43, NUP62, NUP214, NUP133, NUP155
NS1 Mediated Effects on Host Pathways	R-HSA-168276	10	2208	40	10987	0.2731378478952043	0.7130411325000023	1.2439990942028987	0	KPNA1, NUP37, RAE1, POM121, NUP43, NUP62, NUP214, NUP133, NUP155, KPNA4
Peroxisomal protein import	R-HSA-9033241	15	2208	63	10987	0.27417379195825553	0.7130411325000023	1.1847610420979986	0	RPS27A, UBC, MPV17, UBB, PEX5, UBE2D1, ACOT2, ZFAND6, GNPAT, AGXT, UBE2D3, MLYCD, HMGCL, PEX6, ACOX1
RNA Polymerase I Transcription Termination	R-HSA-73863	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	CDK7, POLR1H, GTF2H1, POLR2K, ERCC3, POLR1B, POLR1C, CCNH
HS-GAG biosynthesis	R-HSA-2022928	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	HS3ST6, SDC4, GPC4, SDC3, EXT1, HS3ST2, HS3ST4, GPC2
MAP2K and MAPK activation	R-HSA-5674135	10	2208	40	10987	0.2731378478952043	0.7130411325000023	1.2439990942028987	0	VWF, HRAS, YWHAB, MAP2K2, ACTB, WDR83, MARK3, FGA, LAMTOR2, FGB
Regulation of Glucokinase by Glucokinase Regulatory Protein	R-HSA-170822	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	NUP37, RAE1, POM121, NUP43, NUP62, NUP214, NUP133, NUP155
Activated NOTCH1 Transmits Signal to the Nucleus	R-HSA-2122948	8	2208	31	10987	0.27437528327076577	0.7130411325000023	1.2841280972417017	0	RPS27A, UBC, PSENEN, UBB, NCSTN, DLK1, DLL4, NEURL1
NPAS4 regulates expression of target genes	R-HSA-9768919	6	2208	22	10987	0.27111720720675986	0.7130411325000023	1.3570899209486165	0	XPO1, FOS, GEM, BMAL1, NAMPT, RBFOX3
Extra-nuclear estrogen signaling	R-HSA-9009391	18	2208	77	10987	0.2754126428836307	0.7148652155724934	1.1632199322416714	0	CCND1, XPO1, IGF1R, HRAS, FOS, MMP9, GNAI2, EGF, HSP90AA1, PTK2, GNG10, SRF, UHMK1, GNG7, PDPK1, FOXO3, MMP3, CDKN1B
Transport to the Golgi and subsequent modification	R-HSA-948021	41	2208	186	10987	0.2783911016007175	0.7217170772641472	1.0968594163939533	0	DCTN2, DYNC1LI2, SERPINA1, CD59, TRAPPC2, LMAN2, NAPB, SEC24C, ST6GAL1, SAR1B, TMED2, FUCA1, ARFGAP2, CAPZA2, DYNC1I2, TRAPPC1, CAPZB, COG2, SEC24D, SPTB, SEC23IP, ANK3, ACTR10, COG1, TRAPPC10, TMED10, KDELR3, TRAPPC4, SEC22B, KDELR1, COG4, SEC22C, ARFGAP1, CTSC, GORASP1, MANEA, CNIH1, LMAN2L, MGAT1, MGAT4A, TBC1D20
Signaling by NTRK1 (TRKA)	R-HSA-187037	26	2208	115	10987	0.2828606847064299	0.7315244163949055	1.1250078764965343	0	DUSP7, CRKL, PPP2R5D, EGR4, RPS6KA1, HRAS, FOS, YWHAB, CRK, MAP2K5, TCF12, RALGDS, STAT3, EGR1, MAPK14, SRF, MAP2K2, AP2S1, MAPK12, RALB, PPP2R1B, ID2, EGR2, FOSB, IRS2, NGF
Toll-like Receptor Cascades	R-HSA-168898	38	2208	172	10987	0.2825734640080366	0.7315244163949055	1.0993480367374453	0	PELI3, RPS27A, CASP8, DUSP7, APOB, PPP2R5D, RPS6KA1, LY96, FOS, UBC, UNC93B1, NOD1, UBB, CD36, TP53, MAPK14, CHUK, UBE2D1, RBSN, TLR7, IKBKE, PPP2R1B, NKIRAS1, LBP, TAB3, RIPK2, MYD88, CD180, UBE2D3, TANK, ECSIT, AGER, OPTN, FGA, RIPK3, FGB, TNIP2, TLR3
Interleukin-10 signaling	R-HSA-6783783	11	2208	45	10987	0.28483405620848284	0.7348442781843547	1.2163546698872785	0	CCL4, CCL2, CD86, IL10RA, PTAFR, IL1R1, CCL5, STAT3, CXCL10, CCL3, IL10RB
TAK1-dependent IKK and NF-kappa-B activation  	R-HSA-445989	11	2208	45	10987	0.28483405620848284	0.7348442781843547	1.2163546698872785	0	RPS27A, CASP8, UBC, NOD1, UBB, TP53, CHUK, NKIRAS1, TAB3, RIPK2, AGER
Gastrin-CREB signalling pathway via PKC and MAPK	R-HSA-881907	5	2208	18	10987	0.28718763185988766	0.738235034370833	1.3822212157809985	0	RPS6KA1, HRAS, PRKCA, CCKBR, MMP3
IRAK4 deficiency (TLR2/4)	R-HSA-5603041	5	2208	18	10987	0.28718763185988766	0.738235034370833	1.3822212157809985	0	LY96, CD36, MYD88, FGA, FGB
FGFR1 ligand binding and activation	R-HSA-190242	5	2208	18	10987	0.28718763185988766	0.738235034370833	1.3822212157809985	0	FGF3, FGF22, TGFBR3, FGF4, GIPC1
Non-integrin membrane-ECM interactions	R-HSA-3000171	14	2208	59	10987	0.288487373747908	0.7406826427190265	1.1807449029722428	0	SDC4, ITGB1, DMD, SDC3, TGFB1, PRKCA, COL11A2, COL4A1, LAMB2, LAMA2, TRAPPC4, COL5A3, LAMC1, NTN4
RAF activation	R-HSA-5673000	9	2208	36	10987	0.28896577093483455	0.7410181201710379	1.2439990942028987	0	PPP2R5D, PPP1CB, HRAS, YWHAB, PPP2R5A, MAP2K2, MAP3K11, PPP2R1B, MARK3
Pre-NOTCH Expression and Processing	R-HSA-1912422	24	2208	106	10987	0.29046373737177184	0.7414725287611622	1.1266406890894176	0	CCND1, H3C11, H2BC15, H2BC7, NOTCH3, H2BC9, MAML3, TMED2, H2BC14, TP53, AGO1, H4C5, H2AZ2, SNW1, NOTCH2, KAT2B, H4C15, ATP2A2, TFDP1, ATP2A1, POFUT1, H2AJ, ATP2A3, H4C2
Syndecan interactions	R-HSA-3000170	7	2208	27	10987	0.2908827001615822	0.7414725287611622	1.2900731347289318	0	SDC4, ITGB1, SDC3, TGFB1, PRKCA, TRAPPC4, COL5A3
Cargo recognition for clathrin-mediated endocytosis	R-HSA-8856825	24	2208	106	10987	0.29046373737177184	0.7414725287611622	1.1266406890894176	0	COPS2, COPS5, RPS27A, DVL2, APOB, COPS6, IGF2R, UBC, NECAP1, EGF, VAMP7, UBB, CD3D, CD4, REPS1, AP2S1, ITSN2, GRK3, VAMP4, CLTB, CD3G, SYT8, SH3KBP1, CBL
Integrin signaling	R-HSA-354192	7	2208	27	10987	0.2908827001615822	0.7414725287611622	1.2900731347289318	0	VWF, CRK, RASGRP1, PTK2, PDPK1, FGA, FGB
RAS processing	R-HSA-9648002	7	2208	27	10987	0.2908827001615822	0.7414725287611622	1.2900731347289318	0	RPS27A, HRAS, UBC, UBB, CHURC1-FNTB, FNTA, ABHD17A
RHO GTPases activate PKNs	R-HSA-5625740	21	2208	92	10987	0.2933101901386333	0.746767043232291	1.1358252599243857	0	PPP1R12A, H3C11, H2BC15, H2BC7, PKN1, PPP1CB, H2BC9, YWHAB, YWHAQ, H2BC14, KDM1A, PKN3, H4C5, H2AZ2, YWHAZ, KLK3, PDPK1, PPP1R14A, H4C15, H2AJ, H4C2
MyD88-independent TLR4 cascade 	R-HSA-166166	25	2208	111	10987	0.2950342626599452	0.7493659281625068	1.120719904687296	0	RPS27A, CASP8, DUSP7, PPP2R5D, RPS6KA1, LY96, FOS, UBC, NOD1, UBB, TP53, MAPK14, CHUK, UBE2D1, IKBKE, PPP2R1B, NKIRAS1, TAB3, RIPK2, UBE2D3, TANK, AGER, OPTN, RIPK3, TNIP2
